LAMMPS Atom File Created by AuToFF

  4245 atoms
  4272 bonds
  8244 angles
 11222 dihedrals
   177 impropers

     9 atom types
    36 bond types
  1041 angle types
    16 dihedral types
     1 improper types

     0.00000    77.29200  xlo xhi
     0.00000    25.76400  ylo yhi
     0.00000    25.76400  zlo zhi

Masses

1      15.9994  # O_3
2      12.0107  # C_2
3      12.0107  # C_R
4      12.0107  # C_3
5      12.0107  # C_1
6      65.3778  # Zn3+2
7       1.0079  # H_
8       1.0080  # hc
9      12.0100  # c3

Atoms
#  atom  mol    type   charge         X           Y           Z
     1     1     1     -0.952000     32.205000      6.441000      6.441000
     2     1     1     -0.251000     29.991000      1.319000      6.441000
     3     1     1     -0.253000     34.419000     11.562000      6.441000
     4     1     1     -0.244000     32.205000      4.227000      1.319000
     5     1     1     -0.253000     32.205000      8.655000     11.562000
     6     1     1     -0.226000     27.083000      6.441000      4.227000
     7     1     1     -0.252000     37.326000      6.441000      8.655000
     8     1     1     -0.516000     29.259000      5.637000      7.245000
     9     1     1     -0.496000     35.151000      7.245000      7.245000
    10     1     1     -0.498900     29.259000      7.245000      5.637000
    11     1     1     -0.509000     35.151000      5.637000      5.637000
    12     1     1     -0.513000     31.401000      5.637000      9.387000
    13     1     1     -0.496000     33.009000      5.637000      3.495000
    14     1     1     -0.497000     33.009000      7.245000      9.387000
    15     1     1     -0.509000     31.401000      7.245000      3.495000
    16     1     1     -0.505000     31.401000      3.495000      7.245000
    17     1     1     -0.509000     31.401000      9.387000      5.637000
    18     1     1     -0.509000     33.009000      3.495000      5.637000
    19     1     1     -0.497000     33.009000      9.387000      7.245000
    20     1     1     -0.953000     32.205000      6.441000     19.323000
    21     1     1     -0.506000     31.401000      3.495000     18.519000
    22     1     1     -0.512000     33.009000      9.387000     18.519000
    23     1     1     -0.495000     33.009000      3.495000     20.127000
    24     1     1     -0.245000     34.419000      1.319000     19.323000
    25     1     1     -0.502000     31.401000      9.387000     20.127000
    26     1     1     -0.259000     29.991000     11.562000     19.323000
    27     1     1     -0.501000     31.401000      5.637000     16.377000
    28     1     1     -0.252900     32.205000      4.227000     14.201000
    29     1     1     -0.504000     31.401000      7.245000     22.269000
    30     1     1     -0.253000     32.205000      8.655000     24.444000
    31     1     1     -0.512000     33.009000      7.245000     16.377000
    32     1     1     -0.505000     33.009000      5.637000     22.269000
    33     1     1     -0.506000     29.259000      5.637000     18.519000
