LAMMPS Atom File Created by AuToFF

  4412 atoms
  4450 bonds
  8592 angles
 11930 dihedrals
   264 impropers

     8 atom types
    17 bond types
   104 angle types
     9 dihedral types
     1 improper types

     0.00000    77.48700  xlo xhi
     0.00000    25.82900  ylo yhi
     0.00000    25.82900  zlo zhi

Masses

1      65.3778  # Zn3+2
2      15.9994  # O_3
3      12.0107  # C_2
4      12.0107  # C_1
5      12.0107  # C_R
6       1.0079  # H_
7       1.0080  # hc
8      12.0100  # c3

Atoms
#  atom  mol    type   charge         X           Y           Z
     1     1     1      1.201000     31.168000      5.339000      5.339000
     2     1     1      1.202000     33.405000      7.576000      5.339000
     3     1     1      1.202000     33.405000      5.339000      7.576000
     4     1     1      1.202000     31.168000      7.576000      7.576000
     5     1     1      1.202000     31.168000      5.339000     18.253000
     6     1     1      1.203000     33.405000      7.576000     18.253000
     7     1     1      1.202000     33.405000      5.339000     20.490000
     8     1     1      1.202000     31.168000      7.576000     20.490000
     9     1     1      1.202000     31.168000     18.253000      5.339000
    10     1     1      1.203000     33.405000     20.490000      5.339000
    11     1     1      1.202000     33.405000     18.253000      7.576000
    12     1     1      1.202000     31.168000     20.490000      7.576000
    13     1     1      1.202000     31.168000     18.253000     18.253000
    14     1     1      1.203000     33.405000     20.490000     18.253000
    15     1     1      1.202000     33.405000     18.253000     20.490000
    16     1     1      1.203000     31.168000     20.490000     20.490000
    17     1     1      1.202000     44.082000      5.339000      5.339000
    18     1     1      1.203000     46.319000      7.576000      5.339000
    19     1     1      1.202000     46.319000      5.339000      7.576000
    20     1     1      1.202000     44.082000      7.576000      7.576000
    21     1     1      1.202000     44.082000      5.339000     18.253000
    22     1     1      1.203000     46.319000      7.576000     18.253000
    23     1     1      1.203000     46.319000      5.339000     20.490000
    24     1     1      1.202000     44.082000      7.576000     20.490000
    25     1     1      1.202000     44.082000     18.253000      5.339000
    26     1     1      1.203000     46.319000     20.490000      5.339000
    27     1     1      1.202000     46.319000     18.253000      7.576000
    28     1     1      1.202000     44.082000     20.490000      7.576000
    29     1     1      1.202000     44.082000     18.253000     18.253000
    30     1     1      1.203000     46.319000     20.490000     18.253000
    31     1     1      1.203000     46.319000     18.253000     20.490000
    32     1     1      1.202000     44.082000     20.490000     20.490000
    33     1     2     -0.975000     32.286000      6.457000      6.457000
    34     1     2     -0.513000     29.228000      5.695000      5.695000
    35     1     2     -0.507000     35.344000      7.220000      5.695000
    36     1     2     -0.511000     35.344000      5.695000      7.220000
    37     1     2     -0.509000     29.228000      7.220000      7.220000
    38     1     2     -0.509000     31.524000      3.399000      5.695000
    39     1     2     -0.510000     31.524000      9.515000      7.220000
    40     1     2     -0.507000     33.049000      9.515000      5.695000
    41     1     2     -0.512000     33.049000      3.399000      7.220000
    42     1     2     -0.511000     31.524000      5.695000      3.399000
    43     1     2     -0.509000     33.049000      5.695000      9.515000
    44     1     2     -0.512000     31.524000      7.220000      9.515000
    45     1     2     -0.507000     33.049000      7.220000      3.399000
    46     1     2     -0.974000     32.286000      6.457000     19.372000
    47     1     2     -0.513000     29.228000      5.695000     18.609000
    48     1     2     -0.507000     35.344000      7.220000     18.609000
    49     1     2     -0.511000     35.344000      5.695000     20.134000
    50     1     2     -0.509000     29.228000      7.220000     20.134000
    51     1     2     -0.509000     31.524000      3.399000     18.609000
    52     1     2     -0.510000     31.524000      9.515000     20.134000
    53     1     2     -0.507000     33.049000      9.515000     18.609000
    54     1     2     -0.512000     33.049000      3.399000     20.134000
    55     1     2     -0.511000     31.524000      5.695000     16.314000
    56     1     2     -0.508000     33.049000      5.695000     22.429000
    57     1     2     -0.512000     31.524000      7.220000     22.429000
    58     1     2     -0.507000     33.049000      7.220000     16.314000
    59     1     2     -0.974000     32.286000     19.372000      6.457000
    60     1     2     -0.513000     29.228000     18.609000      5.695000
    61     1     2     -0.507000     35.344000     20.134000      5.695000
    62     1     2     -0.510000     35.344000     18.609000      7.220000
    63     1     2     -0.509000     29.228000     20.134000      7.220000
    64     1     2     -0.509000     31.524000     16.314000      5.695000
    65     1     2     -0.510000     31.524000     22.429000      7.220000
    66     1     2     -0.507000     33.049000     22.429000      5.695000
    67     1     2     -0.512000     33.049000     16.314000      7.220000
    68     1     2     -0.510100     31.524000     18.609000      3.399000
    69     1     2     -0.509000     33.049000     18.609000      9.515000
    70     1     2     -0.512000     31.524000     20.134000      9.515000
    71     1     2     -0.507000     33.049000     20.134000      3.399000
    72     1     2     -0.974100     32.286000     19.372000     19.372000
    73     1     2     -0.512000     29.228000     18.609000     18.609000
    74     1     2     -0.507000     35.344000     20.134000     18.609000
    75     1     2     -0.511000     35.344000     18.609000     20.134000
    76     1     2     -0.509000     29.228000     20.134000     20.134000
    77     1     2     -0.509000     31.524000     16.314000     18.609000
    78     1     2     -0.510000     31.524000     22.429000     20.134000
    79     1     2     -0.507000     33.049000     22.429000     18.609000
    80     1     2     -0.512000     33.049000     16.314000     20.134000
    81     1     2     -0.510000     31.524000     18.609000     16.314000
    82     1     2     -0.508000     33.049000     18.609000     22.429000
    83     1     2     -0.512000     31.524000     20.134000     22.429000
    84     1     2     -0.507000     33.049000     20.134000     16.314000
    85     1     2     -0.974000     45.201000      6.457000      6.457000
    86     1     2     -0.512000     42.143000      5.695000      5.695000
    87     1     2     -0.507000     48.258000      7.220000      5.695000
    88     1     2     -0.511000     48.258000      5.695000      7.220000
    89     1     2     -0.509000     42.143000      7.220000      7.220000
    90     1     2     -0.509000     44.438000      3.399000      5.695000
    91     1     2     -0.510000     44.438000      9.515000      7.220000
    92     1     2     -0.507000     45.963000      9.515000      5.695000
    93     1     2     -0.512000     45.963000      3.399000      7.220000
    94     1     2     -0.510000     44.438000      5.695000      3.399000
    95     1     2     -0.509000     45.963000      5.695000      9.515000
    96     1     2     -0.512000     44.438000      7.220000      9.515000
    97     1     2     -0.507000     45.963000      7.220000      3.399000
    98     1     2     -0.974100     45.201000      6.457000     19.372000
    99     1     2     -0.512100     42.143000      5.695000     18.609000
   100     1     2     -0.507000     48.258000      7.220000     18.609000
   101     1     2     -0.511000     48.258000      5.695000     20.134000
   102     1     2     -0.509000     42.143000      7.220000     20.134000
   103     1     2     -0.508000     44.438000      3.399000     18.609000
   104     1     2     -0.510000     44.438000      9.515000     20.134000
   105     1     2     -0.507000     45.963000      9.515000     18.609000
   106     1     2     -0.512000     45.963000      3.399000     20.134000
   107     1     2     -0.510000     44.438000      5.695000     16.314000
   108     1     2     -0.508000     45.963000      5.695000     22.429000
   109     1     2     -0.511000     44.438000      7.220000     22.429000
   110     1     2     -0.507000     45.963000      7.220000     16.314000
   111     1     2     -0.974000     45.201000     19.372000      6.457000
   112     1     2     -0.512000     42.143000     18.609000      5.695000
   113     1     2     -0.507100     48.258000     20.134000      5.695000
   114     1     2     -0.511000     48.258000     18.609000      7.220000
   115     1     2     -0.509000     42.143000     20.134000      7.220000
   116     1     2     -0.509000     44.438000     16.314000      5.695000
   117     1     2     -0.510000     44.438000     22.429000      7.220000
   118     1     2     -0.507000     45.963000     22.429000      5.695000
   119     1     2     -0.512000     45.963000     16.314000      7.220000
   120     1     2     -0.510000     44.438000     18.609000      3.399000
   121     1     2     -0.509000     45.963000     18.609000      9.515000
   122     1     2     -0.512000     44.438000     20.134000      9.515000
   123     1     2     -0.507000     45.963000     20.134000      3.399000
   124     1     2     -0.974100     45.201000     19.372000     19.372000
   125     1     2     -0.512000     42.143000     18.609000     18.609000
   126     1     2     -0.507000     48.258000     20.134000     18.609000
   127     1     2     -0.511000     48.258000     18.609000     20.134000
   128     1     2     -0.509000     42.143000     20.134000     20.134000
   129     1     2     -0.509000     44.438000     16.314000     18.609000
   130     1     2     -0.510000     44.438000     22.429000     20.134000
   131     1     2     -0.507000     45.963000     22.429000     18.609000
   132     1     2     -0.512000     45.963000     16.314000     20.134000
   133     1     2     -0.510000     44.438000     18.609000     16.314000
   134     1     2     -0.508000     45.963000     18.609000     22.429000
   135     1     2     -0.512000     44.438000     20.134000     22.429000
   136     1     2     -0.507000     45.963000     20.134000     16.314000
   137     1     3      0.428000     28.594000      6.457000      6.457000
   138     1     3     -0.142900     27.133000      6.457000      6.457000
   139     1     4      0.065000     26.443000      5.233000      6.457000
   140     1     3     -0.088000     27.171000      4.038000      6.457000
   141     1     4     -0.040000     26.528000      2.799000      6.457000
   142     1     3      0.426000     35.978000      6.457000      6.457000
   143     1     5     -0.134000     37.440000      6.457000      6.457000
   144     1     5      0.001000     38.129000      7.681000      6.457000
   145     1     5      0.054000     38.129000      5.233000      6.457000
   146     1     5     -0.084000     37.402000      4.038000      6.457000
   147     1     5     -0.026000     38.044000      2.799000      6.457000
   148     1     4     -0.005000     26.443000      7.681000      6.457000
   149     1     3      0.426000     32.286000      2.765000      6.457000
   150     1     5     -0.135000     32.286000      1.304000      6.457000
   151     1     5      0.000000     32.286000      0.614000      5.233000
   152     1     3      0.426000     32.286000     10.149000      6.457000
   153     1     5     -0.134000     32.286000     11.611000      6.457000
   154     1     5      0.054000     32.286000     12.300000      7.681000
   155     1     5     -0.084000     32.286000     11.573000      8.877000
   156     1     5     -0.025000     32.286000     12.215000     10.116000
   157     1     5      0.001000     32.286000     12.300000      5.233000
   158     1     5      0.053000     32.286000      0.614000      7.681000
   159     1     5     -0.084000     32.286000      1.342000      8.877000
   160     1     5     -0.026000     32.286000      0.699000     10.116000
   161     1     3      0.425900     32.286000      6.457000      2.765000
   162     1     5     -0.135000     32.286000      6.457000      1.304000
   163     1     5      0.056000     31.062000      6.457000      0.614000
   164     1     5     -0.085900     29.867000      6.457000      1.342000
   165     1     5     -0.024000     28.628000      6.457000      0.699000
   166     1     3      0.426000     32.286000      6.457000     10.149000
   167     1     5     -0.135000     32.286000      6.457000     11.611000
